"","id","name","genre","curator","percentile"
"110",110,"fuzzy Eclipse Simulated Playlist","Alternative, Funk, Latin, SwedishHouse, Pop, Dance, hiphop, Gospel, Reggae, Classical, Blues","Professional","top1%"
"111",111,"good Twilight Simulated Playlist","Classical, K-pop, Jazz, Funk, Reggae, Soul, Indie, EDM, RnB, Gospel, WorldMusic, Country, Blues, Punk, Metal, SwedishHouse, Pop, Alternative, Rock, hiphop","User","top1%"
"112",112,"fuzzy Chill Simulated Playlist","EDM, Indie, Folk, Latin, Punk, Jazz, Blues, RnB, Funk, Gospel, K-pop, Country","MajorLabel","top30%"
"113",113,"ecstasy Twilight Simulated Playlist","SwedishHouse, Pop, EDM, Indie, Rock, Funk, WorldMusic, RnB, Latin, Soul, Jazz, Dance, Gospel, Punk","Professional","top1%"
"114",114,"fuzzy Fusion Simulated Playlist","K-pop","User","top30%"
"115",115,"feel Wanderlust Simulated Playlist","Punk, Dance, Jazz, EDM, Classical, Reggae, Indie, hiphop, Folk","MajorLabel","top10%"
"116",116,"lonely Eclipse Simulated Playlist","hiphop, Metal, Country, Gospel, Pop, SwedishHouse, WorldMusic, Indie, Jazz, EDM, Blues, Folk, Funk, Classical, Rock, Latin","Professional","top30%"
"117",117,"NA Mystic Simulated Playlist","Soul, Rock, Gospel","Spotify","top1%"
"118",118,"heart broken Eclipse Simulated Playlist","Punk, Dance, Country, Reggae, Blues, Pop, hiphop, Gospel, Jazz, Funk, Metal, Soul, Classical, Alternative, WorldMusic, Rock, SwedishHouse, EDM","MajorLabel","tail"
"119",119,"fuzzy Repository Simulated Playlist","Alternative","MajorLabel","top30%"
"120",120,"bored Test Simulated Playlist","Soul, Dance","MajorLabel","top30%"
"121",121,"lonely Breeze Simulated Playlist","WorldMusic, EDM, Gospel, Folk, Metal, Classical, Funk, Blues, Indie, Dance","Professional","top30%"
"122",122,"Fusion Simulated Playlist","EDM, hiphop, Dance, Folk, Reggae, WorldMusic, Latin, Alternative, Jazz, Classical","Indie","top10%"
"123",123,"angry Eclipse Simulated Playlist","Funk, hiphop, SwedishHouse, Reggae, Dance, Country, Latin, Pop, Jazz, Alternative, Metal, Punk, RnB, WorldMusic, K-pop, Folk, Soul, Classical","MajorLabel","top1%"
"124",124,"Dream Simulated Playlist","Funk, Country, RnB, Latin, SwedishHouse, Reggae, Folk, Rock, Classical, Alternative, Dance","Indie","top10%"
"125",125,"good Zenith Simulated Playlist","Funk, RnB, Soul, Rock, Folk, Jazz, Indie, Dance, K-pop, hiphop, Metal, EDM, Pop, Blues, Punk, WorldMusic, Alternative, Country, Reggae","User","top10%"
"126",126,"mood Rhythm Simulated Playlist","Folk, K-pop, hiphop, Latin, Dance, EDM, Alternative, Funk, Soul, Punk, Jazz, Rock, Country, Classical, Blues, Metal, RnB, WorldMusic, Reggae, Gospel","Spotify","top30%"
"127",127,"lonely Soul Simulated Playlist","EDM, Blues, Soul, Rock, WorldMusic, Metal, Country, RnB, hiphop, Indie, Folk, Pop, Jazz, Gospel","User","top1%"
"128",128,"NA Bliss Simulated Playlist","Gospel, EDM, SwedishHouse, Country, Punk, Blues, Jazz, Latin, Indie, K-pop, RnB, Pop, Alternative, Classical, Dance, Soul, Rock, hiphop, Folk, Metal","User","top1%"
"129",129,"Non-mood Odyssey Simulated Playlist","Reggae, RnB, Funk, Punk, Rock, Folk, Jazz, K-pop","Indie","top1%"
"130",130,"lonely Soul Simulated Playlist","Punk, Latin, EDM, Dance, Pop, Alternative, Reggae, K-pop, Blues, Folk, Metal, RnB, Gospel, SwedishHouse, WorldMusic, Jazz, Funk, Rock, hiphop, Soul, Classical, Country","Professional","top1%"
"131",131,"joy Nebula Simulated Playlist","Blues, Country","MajorLabel","top1%"
"132",132,"NA Melody Simulated Playlist","Latin, Soul, WorldMusic, Jazz, Folk, Classical, EDM, Metal","MajorLabel","top10%"
"133",133,"angry Rhythm Simulated Playlist","WorldMusic, Punk, Pop, hiphop, Indie, EDM, Soul, Blues, Classical, RnB, Alternative, SwedishHouse, Reggae, Gospel","Spotify","tail"
"134",134,"NA Mystic Simulated Playlist","Pop, Funk, hiphop, Country, Reggae, SwedishHouse, Dance, WorldMusic, Gospel, K-pop, Alternative, EDM, Metal, Latin, Indie, Punk, Folk","User","top10%"
"135",135,"surprise Pulse Simulated Playlist","Reggae, Folk, Classical","Indie","top10%"
"136",136,"joy Nebula Simulated Playlist","Gospel, Pop","MajorLabel","top1%"
"137",137,"angry Radiance Simulated Playlist","Pop","Professional","top30%"
"138",138,"feel Beats Simulated Playlist","SwedishHouse, Alternative, Pop, Country, RnB, Rock, WorldMusic, Punk, EDM, Reggae, Funk, Blues, Soul, Dance, hiphop, Metal","MajorLabel","top30%"
"139",139,"good Radiance Simulated Playlist","Latin, RnB, Punk, Dance, Classical, Reggae, SwedishHouse, Soul, Pop","Indie","tail"
"140",140,"mood Nebula Simulated Playlist","Alternative, WorldMusic, Punk, hiphop, Metal, Folk, Funk, Indie, Jazz, Pop, Latin, Country, SwedishHouse, Reggae","Indie","top30%"
"141",141,"heart broken Soul Simulated Playlist","Alternative, WorldMusic, Reggae, Pop","User","top1%"
"142",142,"Non-mood Pulse Simulated Playlist","Dance, Classical, Pop, Gospel, Punk, Funk, Indie, SwedishHouse, Rock, hiphop, WorldMusic, Alternative","Professional","top30%"
"143",143,"heart broken Journey Simulated Playlist","RnB","Professional","top30%"
"144",144,"fuzzy Echoes Simulated Playlist","K-pop, Indie, WorldMusic, SwedishHouse, Jazz, Reggae, Country, Dance, Punk, Rock, EDM, Blues, Latin, Classical, RnB","MajorLabel","top10%"
"145",145,"ecstasy Mystic Simulated Playlist","Rock, Blues, EDM, K-pop, Soul, Pop, Latin, Indie, Dance, Punk, SwedishHouse, hiphop, WorldMusic, Classical, Metal, Reggae, Folk, Funk","Spotify","top1%"
"146",146,"NA Harmony Simulated Playlist","Soul, EDM, Funk, WorldMusic, Classical, Gospel, Country, Latin, RnB, Jazz, SwedishHouse","Indie","top10%"
"147",147,"ecstasy Repository Simulated Playlist","Soul","Spotify","top30%"
"148",148,"joy Bliss Simulated Playlist","Jazz, Reggae, Dance, K-pop, WorldMusic, SwedishHouse, Punk, Folk, RnB, hiphop, Indie, Soul, Classical, Metal, Gospel, Alternative, Country, Blues, Funk, Pop, Latin, EDM, Rock","Indie","top10%"
"149",149,"happy Serenity Simulated Playlist","RnB, Jazz, Metal, Punk, Indie, Alternative, Rock, K-pop","Spotify","top1%"
"150",150,"fuzzy Celestial Simulated Playlist","Funk, Alternative, Blues","User","top1%"
"151",151,"surprise Github Simulated Playlist","Gospel, Metal, Folk, Jazz, Blues, Alternative, SwedishHouse, Rock, Soul, Latin, hiphop, Indie, EDM","User","tail"
"152",152,"surprise Test Simulated Playlist","Soul, Rock, SwedishHouse, WorldMusic, EDM, Jazz, Punk, K-pop, Dance, RnB, Country, Metal, Latin, hiphop, Pop, Alternative, Gospel, Reggae, Folk, Classical, Funk, Indie","Spotify","top10%"
"153",153,"heart broken Reverie Simulated Playlist","Funk, Gospel, Jazz, Latin, Pop, Country","Professional","top1%"
"154",154,"good Vibe Simulated Playlist","Indie, Latin, Jazz, Blues, K-pop, RnB, Dance, Classical, WorldMusic, Alternative","Spotify","top30%"
"155",155,"happy Mystic Simulated Playlist","Punk, K-pop, Latin, Gospel, Country, Reggae, Funk, Soul","Spotify","top30%"
"156",156,"good Pulse Simulated Playlist","Pop, Latin, Folk, Jazz, Punk","Indie","top30%"
"157",157,"fuzzy Wanderlust Simulated Playlist","Gospel, Rock, Latin, Dance, Punk, SwedishHouse, K-pop, Blues, Reggae, RnB, Soul, Classical, Folk, Alternative","Professional","top10%"
"158",158,"fuzzy Github Simulated Playlist","Jazz, hiphop, Dance, RnB, Soul, Funk, Country, Classical, EDM, Rock, Blues, Gospel","Indie","top30%"
"159",159,"bored Journey Simulated Playlist","SwedishHouse, Country, Funk, Dance, Rock, hiphop, Indie, RnB, Pop, Folk, Gospel, Jazz, EDM, Soul, Alternative, Blues, Classical, Punk, Latin, Reggae, WorldMusic","Spotify","top30%"
"160",160,"bored Groove Simulated Playlist","Indie, K-pop, EDM, Funk, Latin, Country, Alternative, Dance, Soul, Punk, WorldMusic, Blues, Reggae, RnB, Gospel, Rock, hiphop","Spotify","tail"
"161",161,"Non-mood Odyssey Simulated Playlist","Punk, Funk, Latin, RnB, Indie, Country, Classical, Metal, Dance, Pop, Gospel, K-pop, Rock, WorldMusic, Folk, SwedishHouse, EDM, hiphop, Reggae, Soul, Blues, Alternative, Jazz","Professional","top1%"
"162",162,"ecstasy Odyssey Simulated Playlist","Classical, Blues, RnB, hiphop, Gospel, Country, Funk, SwedishHouse, K-pop, Reggae, WorldMusic, Pop, Dance, Soul, Jazz, Indie, Folk, Alternative, EDM, Rock, Latin","Spotify","top30%"
"163",163,"ecstasy Nebula Simulated Playlist","Blues, Soul, Indie, Pop, Classical, Reggae, RnB, Latin, Jazz, Metal, Folk, WorldMusic, Funk, K-pop, Punk, Alternative, hiphop","Professional","top30%"
"164",164,"NA Journey Simulated Playlist","Reggae, WorldMusic, K-pop, EDM, Punk, Indie, Gospel, Latin, Funk","Indie","top30%"
"165",165,"NA Fusion Simulated Playlist","Metal, Blues, EDM, K-pop, Funk, Alternative, hiphop, Soul, WorldMusic","MajorLabel","top30%"
"166",166,"heart broken Serenity Simulated Playlist","Jazz, Punk, Dance, EDM, Indie, RnB, Alternative, Classical, Pop, Metal, Soul","MajorLabel","top1%"
"167",167,"heart broken Breeze Simulated Playlist","Indie, WorldMusic, Reggae, Funk, Country, Alternative, Latin, K-pop, Metal, Pop, Rock, Jazz, Gospel, Dance, Folk, hiphop, SwedishHouse","User","top30%"
"168",168,"Non-mood Aurora Simulated Playlist","K-pop, Indie, hiphop, Punk, Pop, RnB, Blues, Country, Funk, Soul, EDM, Alternative, Classical, WorldMusic, Rock, Jazz, Gospel, Latin, Reggae, Folk, SwedishHouse, Metal","Indie","tail"
"169",169,"fuzzy Dream Simulated Playlist","K-pop, Rock, Jazz, EDM, RnB, WorldMusic, Dance, SwedishHouse, Punk, Blues, Indie, Metal, Reggae, Soul, Gospel, Classical, Latin","Indie","tail"
